8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
11597389,11285054,9956365,10308992,9987273,13772871,2078704,3419293,4320760,21790721,9852698,143754,0,641,112425,6919,3904,0,16122,16465,4089,172340
27814609,11041863,5789858,9369854,13453072,9825486,1662350,2303884,4194322,24562903,7118993,316981,9595,156607,411816,73083,5986,0,0,6960,34040,825982
20233732,4359203,2863408,6822185,12225145,9115155,2198237,1322174,2215448,12935713,1973814,579005,25240,2076,203207,1820,226473,0,0,9240,33615,10382
14535648,9579395,4513343,7229340,5356567,10247193,2878570,2649502,2785100,21358721,2419833,1593788,2457,4800,84616,97419,22993,0,0,6615,8357,897957
16186770,11281225,6177840,7821407,6907129,5968662,2412536,4875293,4319687,14866149,2171607,56783,852,0,151612,14205,1750,0,14205,7776,11960,251927
15949892,4685436,4002882,6851732,11140292,7998353,2628769,3032393,2560956,15476326,6640566,178385,75053,3710,0,642785,0,0,2597,742,14387,335941
14162759,7278973,4948425,12110980,13018528,5480546,3786131,1617505,3736729,13065366,4290099,1233223,0,0,142179,4081,0,0,3647,371,8028,222007
16507880,6493755,4015641,8165863,15523518,3080467,1349167,3985695,6929726,25998550,8687303,170416,0,2825,236214,0,928,0,0,300,46060,186280
17980303,9037732,5339534,4818509,16105266,3622483,1352115,1236056,4072764,20668184,2321547,366029,3710,33290,49443,124804,1113,0,0,0,86276,345498
17934563,7697043,4648776,7173998,16060883,4802653,1137910,1644872,5042163,15994172,7693519,1361810,6489,27532,102842,9627,2783,0,557,445,59442,71249
20891241,13481239,5150737,6367550,12871644,5468049,2021196,3422602,4655873,16960653,9253987,91440,500,28782,1139115,407388,2092,0,6903,3139,2389,43069
15183945,7743541,5071085,5032238,8478567,3776332,2399379,552918,5018616,22290902,8159341,455538,0,4752,123914,81851,2903,14710,2515,896,41643,88180
24926354,6581298,3867594,5729280,8991628,7473312,1987504,3245501,1282353,23369317,13531476,317601,66545,52001,236558,0,261225,0,8906,0,36456,7740
