year,month,product_code,y,income_outcome
1997,6,8450,10039827,1
1997,6,8508,5539637,1
1997,6,8509,758307,1
1997,6,8516,3177233,1
1997,6,8528,11180253,1
1997,6,8531,2653423,1
1997,6,8414,16307,0
1997,6,8415,155429,0
1997,6,8418,76217,0
1997,6,8421,66381,0
1997,6,8450,11046,0
1997,6,8516,16221,0
1997,6,8528,5300,0
1997,7,8414,42424055,1
1997,7,8415,4335234,1
1997,7,8418,15339537,1
1997,7,8421,11135556,1
1997,7,8422,5944977,1
1997,7,8450,3908340,1
1997,7,8508,1326522,1
1997,7,8509,2266323,1
1997,7,8516,4567830,1
1997,7,8528,11287626,1
1997,7,8531,1580580,1
1997,7,8414,82421,0
1997,7,8415,63326,0
1997,7,8418,723901,0
1997,7,8421,35933,0
1997,7,8422,31918,0
1997,7,8450,131374,0
1997,7,8509,5080,0
1997,7,8516,1098793,0
1997,8,8414,33330163,1
1997,8,8415,4136893,1
1997,8,8418,25662837,1
1997,8,8421,8522486,1
1997,8,8422,7946394,1
1997,8,8450,9731500,1
1997,8,8508,4091166,1
1997,8,8509,2540211,1
1997,8,8516,4525657,1
1997,8,8528,36650729,1
1997,8,8531,2666140,1
1997,8,8414,7470,0
1997,8,8415,46206,0
1997,8,8418,2998,0
1997,8,8421,6118,0
1997,8,8422,5561,0
1997,8,8516,43571,0
1997,9,8414,33344473,1
1997,9,8415,5151846,1
1997,9,8418,9752032,1
1997,9,8421,19395439,1
1997,9,8422,10087476,1
1997,9,8450,6789589,1
1997,9,8508,1075461,1
1997,9,8509,1109403,1
1997,9,8516,5128829,1
1997,9,8528,40471629,1
1997,9,8531,3007689,1
1997,9,8414,24060,0
1997,9,8415,26735,0
1997,9,8418,46387,0
1997,9,8450,1700,0
1997,9,8509,2213,0
1997,9,8516,27021,0
1997,9,8528,10196,0
1997,9,8531,6709,0
1997,10,8414,23410453,1
1997,10,8415,4407485,1
1997,10,8418,18046159,1
1997,10,8421,7285862,1
1997,10,8422,4964122,1
1997,10,8450,5937292,1
1997,10,8508,1771674,1
1997,10,8509,2092681,1
1997,10,8516,3830093,1
1997,10,8528,27345362,1
1997,10,8531,2062651,1
1997,10,8414,10673,0
1997,10,8415,64382,0
1997,10,8418,238718,0
1997,10,8450,510,0
1997,10,8509,340,0
1997,10,8516,46217,0
